Time,Source,No.,Destination,Protocol,Length,Info
-1.6688680167863004,1,-1.4347011350587187,1,0,-0.3388895864625356,5
-1.5773095449559065,1,-1.3997084244475304,1,0,-0.3388895864625356,5
-1.4857442195018868,1,-1.3647157138363422,1,0,-0.3388895864625356,5
-0.9436566760745995,1,-1.3297230032251537,1,0,-0.3388895864625356,5
-0.8520940006883817,1,-1.2947302926139654,1,0,-0.3388895864625356,5
-0.7605348891864494,1,-1.2597375820027772,1,0,-0.3388895864625356,5
-0.5515179190813579,3,-1.224744871391589,1,2,-0.3388895864625356,7
-0.5515171880281715,3,-1.1897521607804007,1,2,-0.3388895864625356,7
-0.5185466893067912,3,-1.1547594501692124,1,2,-0.3388895864625356,7
-0.518370779633735,3,-1.1197667395580242,1,2,-0.3388895864625356,7
-0.5183706882520865,3,-1.084774028946836,1,2,-0.3388895864625356,7
-0.5183536912654952,3,-1.0497813183356477,1,2,-0.3388895864625356,7
-0.5154828454012189,3,-1.0147886077244594,1,2,-0.3388895864625356,7
-0.5154823884929771,3,-0.9797958971132712,1,2,-0.3388895864625356,7
-0.5154234473297973,3,-0.944803186502083,1,2,-0.3388895864625356,7
-0.49978914387845713,1,-0.9098104758908947,1,0,-0.3388895864625356,3
-0.4601601213507207,3,-0.8748177652797064,1,2,-0.3388895864625356,7
-0.4083955245416701,1,-0.80483234405733,1,0,-0.3388895864625356,3
-0.3687516068052541,3,-0.7348469228349535,1,2,-0.3388895864625356,7
-0.2773582616134121,3,-0.6998542122237652,1,2,-0.3388895864625356,7
-0.21849806257399113,1,-0.6648615016125768,1,0,-0.3388895864625356,5
-0.12693456475293852,1,-0.6298687910013886,1,0,-0.3388895864625356,5
-0.09457677998368358,3,-0.5948760803902003,1,2,-0.3388895864625356,7
-0.03534749046661373,1,-0.5598833697790121,1,0,-0.3388895864625356,5
0.11729367347249907,3,-0.5248906591678238,1,0,-0.3388895864625356,2
0.17959091906931682,3,-0.45490523794544735,1,2,-0.3388895864625356,7
0.20872092125587602,3,-0.4199125273342591,1,0,-0.3388895864625356,2
0.30079167860686845,3,-0.27994168488950605,1,0,-0.3388895864625356,2
0.39216811819376757,3,-0.10497813183356478,1,0,-0.3388895864625356,4
0.42771274656726166,2,0.0,1,2,-0.3388895864625356,6
0.4835610064773681,3,0.13997084244475302,1,0,-0.3388895864625356,4
0.5063196059966576,1,0.1749635530559413,1,0,-0.3388895864625356,5
0.5749357098129486,3,0.27994168488950605,1,0,-0.3388895864625356,4
0.6365274890845743,3,0.4199125273342591,1,2,-0.3388895864625356,7
0.6663021888001783,3,0.4898979485566356,1,0,-0.3388895864625356,0
0.7071984920271059,0,0.5248906591678238,0,1,-0.3388895864625356,1
0.7072067163754566,0,0.5598833697790121,0,1,-0.3388895864625356,1
0.7077989608383538,0,0.5948760803902003,0,1,-0.3388895864625356,1
0.7077992349832988,0,0.6298687910013886,0,1,-0.3388895864625356,1
0.7078235425017572,0,0.6648615016125768,0,1,-0.3388895864625356,1
0.7078238166467021,0,0.6998542122237652,0,1,-0.3388895864625356,1
0.707823999409999,0,0.7348469228349535,0,1,-0.3388895864625356,1
0.7078241821732958,0,0.7698396334461417,0,1,-0.3388895864625356,1
0.7078491293632929,0,0.80483234405733,0,1,-0.3388895864625356,1
0.7078493121265891,0,0.8398250546685182,0,1,-0.3388895864625356,1
0.707849586271534,0,0.8748177652797064,0,1,-0.3388895864625356,1
0.707849769034831,0,0.9098104758908947,0,1,-0.3388895864625356,1
0.7078499517981278,0,0.944803186502083,0,1,-0.3388895864625356,1
0.7078501345614246,0,0.9797958971132712,0,1,-0.3388895864625356,1
0.707874990369773,0,1.0147886077244594,0,1,-0.3388895864625356,1
0.7078752645147179,0,1.0497813183356477,0,1,-0.3388895864625356,1
0.7078754472780149,0,1.084774028946836,0,1,-0.3388895864625356,1
0.7078756300413117,0,1.1197667395580242,0,1,-0.3388895864625356,1
0.7078758128046079,0,1.1547594501692124,0,1,-0.3388895864625356,1
0.7078759955679048,0,1.1897521607804007,0,1,-0.3388895864625356,1
0.7078942718975729,0,1.224744871391589,0,1,-0.3388895864625356,1
0.7078944546608698,0,1.2597375820027772,0,1,-0.3388895864625356,1
0.7078948201874629,0,1.2947302926139654,0,1,-0.3388895864625356,1
0.7078950029507598,0,1.3297230032251537,0,1,-0.3388895864625356,1
0.7078951857140566,0,1.3647157138363422,0,1,-0.3388895864625356,1
0.7079129137538348,0,1.3997084244475304,0,1,-0.3388895864625356,1
0.7079131878987798,0,1.4347011350587187,0,1,-0.3388895864625356,1
0.7079133706620759,0,1.469693845669907,0,1,-0.3388895864625356,1
0.7079135534253729,0,1.5046865562810952,0,1,-0.3388895864625356,1
0.7079137361886697,0,1.5396792668922834,0,1,-0.3388895864625356,1
0.707923422643394,0,1.5746719775034717,0,1,-0.3388895864625356,1
0.7087054667898945,0,1.60966468811466,0,1,-0.3388895864625356,1
0.7087057409348402,0,1.6446573987258482,0,1,-0.3388895864625356,1
0.7087284949652767,0,1.6796501093370364,0,1,-0.3388895864625356,1
0.7087287691102216,0,1.7146428199482247,0,1,-0.3388895864625356,1
